Gene	1_ST_1	1_ST_2	1_ST_3	1_ST_4	1_ST_5	1_ST_6	1_ST_7	1_ST_8	1_ST_9	1_ST_10	1_ST_11	1_ST_12	1_ST_13	1_ST_14	1_ST_15	1_ST_16	1_ST_17	1_ST_18	1_ST_19	1_ST_20	1_ST_21	1_ST_22	1_ST_23	1_ST_24
AARS	0.00	4.93	0.00	0.00	1.26	0.00	0.00	0.00	15.46	7.92	0.00	0.00	9.65	26.47	0.00	13.52	46.93	0.00	3.72	4.27	0.00	0.00	4.46	0.00
AARS2	0.00	0.00	31.11	0.00	0.00	0.00	0.00	0.00	69.56	3.96	1.24	2.87	1.93	88.24	0.00	0.00	2.76	2.96	1.86	42.75	0.00	0.00	22.32	2.29
AARSD1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AASDH	5.33	9.85	58.33	6.69	21.44	1372.17	0.00	0.00	11.59	81.15	1.24	22.95	0.00	88.24	0.00	90.15	11.04	44.40	70.74	42.75	0.00	8.19	22.32	2.29
AASDHPPT	42.64	24.63	104.99	60.17	61.80	0.00	0.00	0.00	23.19	168.24	161.83	8.61	36.66	52.94	327.01	0.00	132.52	97.67	89.36	55.57	0.00	32.76	13.39	146.38
AASS	74.62	29.56	89.43	20.06	8.83	0.00	0.00	0.00	112.06	23.75	3.73	91.82	36.66	61.77	0.00	103.67	168.41	133.19	7.45	4.27	0.00	0.00	285.74	4.57
AATBC	0.00	128.09	0.00	0.00	1.26	0.00	0.00	0.00	0.00	0.00	16.18	0.00	1.93	0.00	0.00	0.00	5.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AATF	0.00	9.85	9.72	0.00	7.57	0.00	0.00	0.00	23.19	67.30	75.93	0.00	1.93	17.65	0.00	0.00	5.52	2.96	59.57	0.00	0.00	0.00	4.46	45.74
AATK	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AATK-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABALON	58.63	0.00	116.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9483.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABAT	5.33	142.87	11.67	13.37	11.35	0.00	0.00	484.97	11.59	37.61	219.09	48.78	44.38	70.59	0.00	4.51	157.36	17.76	13.03	158.16	0.00	98.27	17.86	73.19
ABCA1	37.31	275.89	19.44	40.11	21.44	0.00	0.00	0.00	193.21	67.30	36.10	8.61	1.93	52.94	0.00	13.52	60.74	88.79	7.45	106.87	0.00	286.63	142.87	107.50
ABCA10	21.32	9.85	108.88	0.00	81.98	0.00	0.00	0.00	19.32	7.92	13.69	8.61	9.65	26.47	0.00	0.00	5.52	14.80	9.31	17.10	0.00	147.41	4.46	16.01
ABCA11P	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.51	0.00	0.00	0.00	4.27	0.00	0.00	0.00	0.00
ABCA12	0.00	0.00	0.00	0.00	2.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.93	0.00	0.00	0.00	35.89	68.07	22.34	0.00	0.00	73.71	4.46	16.01
ABCA13	0.00	0.00	5.83	26.74	7.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.27	0.00	0.00	0.00	2.29
ABCA17P	5.33	0.00	44.72	0.00	74.41	44.26	0.00	0.00	0.00	0.00	0.00	31.56	1.93	0.00	0.00	4.51	0.00	0.00	3.72	17.10	0.00	0.00	8.93	0.00
ABCA2	10.66	0.00	5.83	6.69	0.00	0.00	0.00	0.00	11.59	0.00	7.47	2.87	0.00	17.65	0.00	9.01	2.76	0.00	29.79	0.00	0.00	57.33	35.72	22.87
ABCA3	5.33	9.85	1.94	6.69	23.96	0.00	0.00	0.00	115.93	27.71	0.00	5.74	0.00	0.00	0.00	72.12	187.73	5.92	18.62	0.00	0.00	16.38	84.83	54.89
ABCA4	0.00	0.00	0.00	0.00	5.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
